Laranjeiras,Carapina,Camburi,Sua,VixCentro,Ibes,VVCentro,Cariacica
19.1667,28.1667,46.1667,35.1250,27.4583,26.4583,27.5000,28.5000
19.6667,20.4583,26.7083,24.7500,24.6667,19.7500,17.5833,34.0000
25.9583,31.2917,38.0417,49.4167,32.0417,54.7083,36.1667,101.6250
23.2083,23.8333,26.8750,31.0833,27.5417,35.2917,36.1667,98.9583
21.4167,23.5417,32.8750,27.2917,28.4167,29.3333,17.4583,68.5833
37.7500,34.8333,43.4583,34.5833,27.2083,44.8333,30.7083,83.2083
36.5000,22.7917,32.6667,15.2917,12.6667,29.5000,14.7083,49.5417
25.7500,13.6667,20.8750,12.5417,14.2083,15.9583,12.7917,21.0000
42.9583,28.6250,40.3750,35.5417,32.0000,44.0833,32.8750,84.0000
48.3333,28.2083,33.2917,33.8333,31.0000,29.9583,37.0417,64.2500
21.2917,14.9167,22.0000,16.1250,16.2083,15.6667,13.4167,41.9167
21.5417,22.8333,31.0833,26.0417,23.2917,21.0000,18.4583,42.1250
26.5833,29.7083,42.9583,33.0833,33.2083,34.4167,41.0833,56.7083
28.0833,21.2500,33.9167,24.7917,40.0000,30.2500,16.5000,33.5417
16.5417,14.9167,20.5417,15.7500,12.2917,24.6250,17.2500,15.2917
26.2500,20.3333,25.4167,23.6667,28.3750,30.0000,24.5000,38.8333
26.7917,24.4167,29.4167,25.2917,25.7083,30.0000,24.5833,56.0833
34.8333,30.1667,37.2917,32.6250,34.8333,35.2500,28.1250,60.3750
29.0417,32.8333,41.6250,34.0417,30.5833,39.7917,27.5417,50.7500
35.5000,41.0000,31.2083,26.6667,33.6250,26.8750,36.0417,72.8750
27.7083,32.5417,24.3750,26.2917,28.4167,20.8750,50.6667,52.7917
27.6667,19.9583,17.9167,17.0000,24.7500,12.0417,30.0833,30.3333
36.0417,26.1250,32.8750,33.3333,55.5000,27.9167,55.0833,55.2917
29.6667,24.1250,29.7500,20.9167,29.5833,34.0000,18.1667,57.3333
39.7917,30.7917,24.6667,23.2917,28.5000,34.0000,33.2500,61.7083
25.0417,15.7917,30.0417,24.6667,31.6667,25.5000,39.2083,47.6250
26.0833,23.6667,35.1667,20.4583,22.1667,27.5833,17.3333,38.7917
25.6667,33.4167,28.5417,21.8750,27.5833,21.7083,31.4583,42.7917
16.5000,20.5417,17.1667,14.1250,20.3750,14.9167,20.8750,36.1667
28.2917,24.0417,27.2917,23.2500,27.5417,19.5833,48.6667,37.7083
42.2500,30.5417,32.1250,28.1667,24.4583,36.7917,19.9167,48.2917
47.1250,29.7083,31.1250,25.7083,27.2083,33.2917,26.2083,54.2917
41.1250,22.7083,33.0833,26.6250,24.8750,26.3750,21.4583,50.3333
37.3750,31.7500,38.6250,31.2917,26.7917,21.7917,24.2500,46.5000
29.9583,19.6250,27.7500,28.6250,34.1667,20.2500,18.9167,31.9583
36.3333,13.8333,30.6250,25.5000,19.5833,19.7083,17.1250,16.1667
27.5417,36.9167,30.2083,26.1250,28.8333,25.3333,26.1250,50.0000
28.3333,19.4167,28.1667,22.1667,25.0000,22.3333,20.6667,46.7500
22.0417,24.0000,29.1667,25.3333,24.2500,25.6667,17.2500,30.1250
34.9167,21.1250,34.4583,19.9583,17.1250,27.1250,19.7917,29.5000
32.7500,25.4583,39.4167,26.7917,25.4583,30.6667,22.7083,35.6667
34.5000,29.7083,33.2083,22.7500,26.6667,37.3750,20.9167,48.9167
23.5417,19.2083,22.7500,24.8333,17.9583,27.9583,25.9583,27.7917
39.6250,32.2500,28.8750,23.0417,24.3750,27.3333,21.8750,44.4583
36.3333,29.0833,28.3333,24.9167,22.1250,29.4583,18.9583,41.3333
33.8333,24.9167,31.0417,24.0833,22.3750,33.8333,27.2917,40.5000
43.0000,34.1250,36.5417,36.1667,32.1667,32.5833,30.2083,61.3333
35.6667,26.7500,32.7500,34.4167,22.7917,26.0833,20.2917,41.9583
40.7500,23.4583,24.9583,21.4583,17.5417,25.6667,20.7500,36.7917
14.9167,19.8333,19.8333,13.1667,24.3333,25.5000,16.5833,41.7500
39.8750,22.0833,21.5000,25.8333,29.5000,32.2917,37.9583,35.0417
64.7083,29.1667,29.6250,31.0417,23.1667,36.2917,32.0000,46.0833
59.7083,30.3750,29.7500,27.0417,27.8333,28.6667,25.9167,60.1250
37.2500,29.8333,37.7083,29.0417,25.3333,24.3750,22.7917,47.9583
37.6250,24.8333,34.2500,25.5000,21.6667,26.3333,20.4583,43.7500
35.9583,23.8750,33.2500,24.0833,22.7917,22.7083,20.0833,41.0417
26.4167,17.3750,20.5833,17.2917,13.8333,17.4167,14.4167,16.2083
24.4583,19.0000,21.5833,24.8333,22.6250,25.1667,19.9583,38.3333
43.5417,28.9167,36.3333,38.7083,31.3750,30.1250,29.7083,51.9167
26.3333,18.3750,20.2917,17.9167,19.5000,17.2500,15.3333,23.6667
16.0833,12.3333,16.7917,12.1250,14.3333,12.8333,10.1667,26.4583
21.9583,20.9583,34.3333,24.4583,28.2083,28.9167,21.0833,46.0000
